Name,Description,ID,Category,Source
7-ZIP,File archiver,7zip.7zip,Archiver,winget
7-ZIP,File archiver,7zip,Archiver,scoop
AbiWord,Word processor,AbiSource.AbiWord,Office,winget
ack,,ack,other,scoop
Adobe Creative Cloud,,Adobe.CreativeCloud,Utility,winget
Adobe Photoshop Express,,9WZDNCRFJ27N,Viewer/Editor,winget
Adobe Reader x64,,Adobe.Acrobat.Reader.64-bit,Viewer/Editor,winget
AdoptOpenJDK 17,,AdoptOpenJDK.OpenJDK.17,Runtime,winget
Advanced IP Scanner,,Famatech.AdvancedIPScanner,Utility,winget
Ag,,Ag,other,scoop
AIMP,Audio player,AIMP.AIMP,Audio Player,winget
AkelPad,,AkelPad.AkelPad,Editor,winget
Amazon Corretto JRE 8,,Amazon.Corretto.8.JRE,Runtime,winget
Ant Renamer,File renamer,AntSoftware.AntRenamer,Utility,winget
aria2,Lightweight multi-protocol & multi-source command-line download utility,aria2.aria2,Torrent,winget
Audacious,Advanced audio player,Audacious.MediaPlayer,Audio Player,winget
Audacity,Audio editor / recorder,Audacity.Audacity,Audio Player,winget
AutoHotkey,Scripting language,autohotkey,Development,scoop
Avast Free Antivirus,Antivirus,XPDNZJFNCR1B07,Security,winget
AVG Free AntiVirus,Antivirus,XP8BX2DWV7TF50,Security,winget
Avidemux,Non-linear video editing and transcoding multimedia files,Avidemux.Avidemux,Editor,winget
Avira Free Security,,XPFD23M0L795KD,Security,winget
Balena Etcher,Flash OS images to SD cards & USB drives,Balena.Etcher,Utility,winget
Bandizip,File archiver,Bandisoft.Bandizip,Archiver,winget
Bandizip,File archiver,bandzip,Archiver,scoop
bat,,bat,other,scoop
Beyond Compare,"Compare files, folders, archives",beyondcompare,Utility,scoop
BiglyBT,,BiglySoftware.BiglyBT,Torrent,winget
BitDefender,,Bitdefender.Bitdefender,Security,winget
BleachBit,,BleachBit.BleachBit,Utility,winget
Blender,,BlenderFoundation.Blender,Viewer/Editor,winget
BlueJ,Java Development Environment,BlueJTeam.BlueJ,Development,winget
BlueStacks,Android emulator,BlueStack.BlueStacks,Emulator,winget
Box,,Box.Box,Cloud Storage,winget
Brave,,brave,Browser,scoop
Caesium Image Compressor,,SaeraSoft.CaesiumImageCompressor,Viewer/Editor,winget
Caffeine,Keep your device awake,caffeine,Utility,scoop
calibre-normal,,calibre-normal,other,scoop
CCleaner,System cleaners,Piriform.CCleaner,Utility,winget
Chocolatey GUI,Chocolatey GUI,Chocolatey.ChocolateyGUI,Package Manager,winget
chromium,,chromium,other,scoop
ClamWin Free AntiVirus,,ClamWin.ClamWin,Security,winget
CMake,,cmake,Development,scoop
CMake-RC,,cmake-rc,Development,scoop
CodeBlocks,,Codeblocks.Codeblocks,Development,winget
CopyQ,Clipboard manager,hluk.CopyQ,Clipboard,winget
CopyQ,Clipboard manager,copyq,Clipboard,scoop
Cppcheck,,Cppcheck.Cppcheck,Development,winget
CPUID CPU-Z,,CPUID.CPU-Z,Utility,winget
cURL,,cURL.cURL,Utility,winget
CutePDF,,AcroSoftwareInc.CutePDFWriter,Viewer/Editor,winget
DB Browser for SQLite,,DBBrowserForSQLite.DBBrowserForSQLite,Development,winget
Deezer,,Deezer.Deezer,Streaming,winget
DefenderUI,,VoodooSoft.DefenderUI,Security,winget
Discord,,Discord.Discord,Chat,winget
ditto,,ditto,other,scoop
dnGREP,,dnGrep.dnGrep,Utility,winget
dnSpyEx,debugger and .NET assembly editor ,dnSpyEx.dnSpy,Development,winget
Dolphin,Nintendo GameCube and Nintendo Wii emulator,DolphinEmulator.Dolphin,Emulator,winget
draw.io,,JGraph.Draw,Viewer/Editor,winget
Dropbox,,Dropbox.Dropbox,Cloud Storage,winget
dropit,,dropit,other,scoop
Electronic Arts,Gaming platform,ElectronicArts.EADesktop,Games,winget
Elk,,Elk.Elk,Utility,winget
Epic Games Launcher,Gaming platform,EpicGames.EpicGamesLauncher,Games,winget
Eraser,,Eraser.Eraser,Security,winget
ESET Endpoint Antivirus,,ESET.EndpointAntivirus,Security,winget
Evernote,,Evernote.Evernote,Utility,winget
Everything,Find files and folders,voidtools.Everything,Utility,winget
Everything,Find files and folders,everything,Utility,scoop
ExifTool,,OliverBetz.ExifTool,Utility,winget
Facebook,,9WZDNCRFJ2WL,Social Platform,winget
Facebook Messenger,,9WZDNCRF0083,Social Platform,winget
FastStone Image Viewer,,FastStone.Viewer,Viewer/Editor,winget
Fedistar,,h3poteto.fedistar,Utility,winget
FFmpeg,,Gyan.FFmpeg,CODEC,winget
File Shredder,,PowTools.FileShredder,Security,winget
FileCloud,,9WZDNCRDS373,Cloud Storage,winget
foobar2000,Audio player,PeterPawlowski.foobar2000,Audio Player,winget
fork,,fork,other,scoop
Foxit Reader,,Foxit.FoxitReader,Viewer/Editor,winget
Free Pascal Compiler,Pascal compiler,FreePascal.FreePascalCompiler,Development,winget
FreeBASIC,Cross-platform BASIC compiler,FreeBASIC.FreeBASIC,Development,winget
FreeCAD,,FreeCAD.FreeCAD,Viewer/Editor,winget
Frhed,,RKibria.frhed,Editor,winget
fzf,,fzf,other,scoop
gdrive,,gdrive,other,scoop
Geany,,Geany.Geany,Editor,winget
Geek Uninstaller,,GeekUninstaller.GeekUninstaller,Uninstaller,winget
GIMP,,GIMP.GIMP,Viewer/Editor,winget
git,,git,Utility,scoop
git,,Git.Git,Development,winget
gitkraken,,gitkraken,other,scoop
Glary Utilities,Glary Utilities,Glarysoft.GlaryUtilities,Utility,winget
Gnome Dia,,gnome.Dia,Viewer/Editor,winget
GNU Gpg4win,,GnuPG.Gpg4win,Security,winget
GNU Privacy Guard,,GnuPG.GnuPG,Security,winget
GNU Wget2,,GNU.Wget2,Utility,winget
GOM Player,,GOMLab.GOMPlayer,Media Player,winget
Google Chrome,,Google.Chrome,Browser,winget
Google Chrome,,Google.Chrome.EXE ,Browser,winget
Google Drive,,Google.GoogleDrive,Cloud Storage,winget
Google Earth Pro,,Google.EarthPro,other,winget
graphviz,,graphviz,other,scoop
Greenshot,,Greenshot.Greenshot,Viewer/Editor,winget
grepWin,,StefansTools.grepWin,Utility,winget
guinget,winget GUI,DrewNaylor.guinget,Package Manager,winget
HakuNeko Desktop,,HakuNeko.HakuNeko,Anime/Manga,winget
HakuNeko Desktop Nightly,,HakuNeko.HakuNeko.Nightly,Anime/Manga,winget
Halloy,,squidowl.halloy,IRC,winget
HandBrake,,HandBrake.HandBrake,Media Player,winget
HexChat,IRC client based on XChat,HexChat.HexChat,IRC,winget
IceChat,open source IRC Client,IceChat.IceChat,IRC,winget
iCloud,,9PKTQ5699M62,Cloud Storage,winget
IcoFX,,IcoFXSoftware.icofx,Viewer/Editor,winget
ImgBurn,,LIGHTNINGUK.ImgBurn,Burner,winget
InfraRecorder,,ChristianKindahl.InfraRecorder,Burner,winget
Inkscape,,Inkscape.Inkscape,Viewer/Editor,winget
Inno Setup,,JRSoftware.InnoSetup,Utility,winget
Instagram,,9NBLGGH5L9XT,Social Platform,winget
Instant Eyedropper,,Spicebrains.Instant-Eyedropper,Utility,winget
IrfanView,,IrfanSkiljan.IrfanView,Viewer/Editor,winget
iTunes,,Apple.iTunes,Audio Player,winget
IZArc,,IZArc.IZArc,Archiver,winget
Java Runtime Environment ,,Oracle.JavaRuntimeEnvironment,Runtime,winget
JetBrains CLion,Cross-platform C/C++ IDE,JetBrains.CLion,Development,winget
JetBrains DataGrip,Cross-platform SQL IDE,JetBrains.DataGrip,Development,winget
JetBrains IntelliJ IDEA Ultimate,Java and Kotlin IDE,JetBrains.IntelliJIDEA.Ultimate,Development,winget
JetBrains PhpStorm,PHP IDE,JetBrains.PhpStorm,Development,winget
JetBrains PyCharm,Python & Django IDE,JetBrains.PyCharm,Development,winget
JetBrains ReSharper,Visual Studio Extension for .NET Developers,JetBrains.ReSharper,Development,winget
JetBrains Rider,"Develop .NET, ASP.NET, .NET Core, Xamarin or Unity applications on Windows, Mac, Linux",JetBrains.Rider,Development,winget
JetBrains RubyMine,Cross-platform Ruby on Rails IDE,JetBrains.RubyMine,Development,winget
JetBrains RustRover,Cross-platform Rust IDE,JetBrains.RustRover,Development,winget
JetBrains WebStorm,JavaScript IDE,JetBrains.WebStorm,Development,winget
Joplin,,Joplin.Joplin,Utility,winget
JPEGView,,sylikc.JPEGView,Viewer/Editor,winget
Kahla,,Aiursoft.Kahla,Messaging,winget
KDE Falkon,,KDE.Falkon,Browser,winget
Kdenlive,,KDE.Kdenlive,Media Player,winget
KeePassXC Password Manager,,XP8K2L36VP0QMB,Security,winget
keypirinha,,keypirinha,other,scoop
K-Lite Codec Pack Full,,CodecGuide.K-LiteCodecPack.Full,Media Player,winget
K-Meleon,,kmeleonbrowser.K-Meleon,Browser,winget
Krita,,KDE.Krita,Viewer/Editor,winget
Launchy,,CodeJelly.Launchy,Customizer/Tweaker,winget
Lazarus,Cross-platform IDE for Delphi Rapid Application Development,Lazarus.Lazarus,Development,winget
lepton,,lepton,other,scoop
less,,less,other,scoop
lessmsi,view and extract the contents of an Windows Installer (.msi) file,activescott.lessmsi,Utility,winget
LibreCAD,,LibreCAD.LibreCAD,Viewer/Editor,winget
LibreOffice,,TheDocumentFoundation.LibreOffice,Office,winget
LibreOffice LTS,,TheDocumentFoundation.LibreOffice.LTS,Office,winget
LibreWolf,,LibreWolf.LibreWolf,Browser,winget
LINE,,XP99J3KP4XZ4VV,Messaging,winget
LinkedIn,,9WZDNCRFJ4Q7,Social Platform,winget
Links,,TwibrightLabs.Links,Browser,winget
listen1desktop,,listen1desktop,other,scoop
llvm,,llvm,other,scoop
LockHunter,,CrystalRich.LockHunter,Utility,winget
Lua JLS,"Lua 5.4, modules and JLS APIs",JavaLikeScript.LuaJLS,Development,winget
Malwarebytes Free Antivirus,,Malwarebytes.Malwarebytes,Security,winget
Malwarebytes Windows Firewall Control,,BiniSoft.WindowsFirewallControl,Security,winget
Maxthon,,Maxthon.Maxthon,Browser,winget
McAfee Personal Security,,9N1SQW2NKPDS,Security,winget
MediaInfo GUI,,MediaArea.MediaInfo.GUI,Media Player,winget
MEGAsync,,Mega.MEGASync,Cloud Storage,winget
MEGAsync,,megasync,Cloud Storage,scoop
Microsoft .NET Windows Desktop Runtime 8.0,,Microsoft.DotNet.DesktopRuntime.8,Runtime,winget
Microsoft 365 Apps for enterprise,,Microsoft.Office,Utility,winget
Microsoft App Installer,,Microsoft.AppInstaller,other,winget
Microsoft Defender,,9P6PMZTM93LR,Security,winget
Microsoft Dev Home,,Microsoft.DevHome,Utility,winget
